date,store_id,product_id,sales_amount,units_sold
2023-01-24,STORE-6836,PROD-26604,527.29,25
2022-02-16,STORE-7652,PROD-91929,738.53,50
2023-01-23,STORE-1222,PROD-11342,768.54,12
2022-03-05,STORE-5623,PROD-39111,766.72,37
2022-07-06,STORE-1618,PROD-74723,893.37,18
2022-12-22,STORE-7201,PROD-85428,36.54,37
2022-09-30,STORE-1148,PROD-10718,442.8,6
2022-09-19,STORE-9315,PROD-79974,641.7,37
2022-04-20,STORE-7640,PROD-40365,365.28,3
2022-01-20,STORE-7146,PROD-18511,377.56,29
2022-09-13,STORE-3796,PROD-71935,607.03,25
2023-01-13,STORE-8369,PROD-20956,652.51,28
2022-07-23,STORE-6436,PROD-39733,327.4,35
2022-09-15,STORE-5666,PROD-72040,443.1,10
2022-06-17,STORE-1349,PROD-47077,606.92,11
2023-04-28,STORE-4328,PROD-88302,613.14,43
2022-05-14,STORE-3624,PROD-12936,467.7,7
2022-02-14,STORE-3957,PROD-22250,187.2,41
2022-04-26,STORE-6463,PROD-10345,867.08,26
2022-12-17,STORE-3210,PROD-22823,767.78,36
2022-01-11,STORE-1323,PROD-89717,430.08,25
2022-05-02,STORE-8271,PROD-53012,31.66,27
2023-03-22,STORE-7076,PROD-47927,258.18,47
2022-03-24,STORE-6538,PROD-15984,496.88,32
2022-02-17,STORE-1030,PROD-31321,715.57,7
2022-12-17,STORE-3608,PROD-35224,384.23,8
2022-01-07,STORE-7816,PROD-24032,376.14,34
2022-10-03,STORE-4617,PROD-89783,455.5,39
2022-04-03,STORE-3939,PROD-57008,284.78,1
2023-02-27,STORE-3112,PROD-67745,331.3,16
2022-07-22,STORE-4894,PROD-50002,938.38,16
2023-03-08,STORE-8644,PROD-21780,870.89,41
2023-02-02,STORE-8465,PROD-39779,999.78,37
2023-02-09,STORE-4600,PROD-46673,12.57,45
2022-09-27,STORE-5129,PROD-27059,590.98,11
2022-05-17,STORE-2585,PROD-55770,210.24,24
2022-08-31,STORE-3459,PROD-17446,630.98,2
2023-02-19,STORE-8453,PROD-74656,268.34,3
2023-04-08,STORE-4259,PROD-36659,131.7,39
2022-08-07,STORE-2780,PROD-37840,798.77,38
2022-05-23,STORE-5449,PROD-58982,987.37,33
2022-07-25,STORE-4945,PROD-10626,531.17,35
2022-01-03,STORE-2587,PROD-64096,596.9,5
2022-11-23,STORE-5690,PROD-69812,560.11,8
2022-11-23,STORE-4185,PROD-56370,73.76,20
2022-12-09,STORE-8950,PROD-86484,356.95,4
2022-09-01,STORE-3193,PROD-23305,654.92,50
2022-11-01,STORE-8470,PROD-35592,913.64,6
2022-02-04,STORE-5098,PROD-92534,195.4,30
2022-07-18,STORE-9855,PROD-39189,705.32,25
2022-08-05,STORE-2929,PROD-35171,852.27,12
2023-03-04,STORE-8372,PROD-96227,376.45,35
2022-07-31,STORE-5011,PROD-21662,438.63,48
2022-01-31,STORE-9410,PROD-46945,302.12,21
2022-04-17,STORE-7377,PROD-29229,275.25,39
2022-08-12,STORE-9441,PROD-26304,973.66,5
2023-03-08,STORE-1126,PROD-43717,993.78,35
2022-06-09,STORE-7619,PROD-66328,694.52,48
2022-03-14,STORE-1247,PROD-63453,247.89,31
2022-02-27,STORE-9621,PROD-62435,758.91,2
2022-12-01,STORE-6667,PROD-71339,130.76,49
2022-07-25,STORE-7743,PROD-49094,230.22,45
2022-07-14,STORE-2370,PROD-75764,697.69,13
2022-07-01,STORE-7621,PROD-23938,294.76,41
2022-03-19,STORE-5704,PROD-98242,888.32,39
2022-03-01,STORE-4139,PROD-59976,515.04,44
2022-05-21,STORE-5980,PROD-19951,802.35,3
2022-09-26,STORE-1244,PROD-27266,967.82,20
2022-06-22,STORE-9725,PROD-71510,969.08,11
2022-05-14,STORE-4264,PROD-92576,614.67,29
2022-10-19,STORE-8837,PROD-63462,403.03,25
2022-10-20,STORE-6401,PROD-66400,261.51,32
2022-06-01,STORE-8869,PROD-60235,790.17,39
2022-12-15,STORE-8533,PROD-72015,340.72,5
2022-04-27,STORE-4032,PROD-46380,785.3,4
2023-01-14,STORE-7865,PROD-23851,690.09,26
2023-02-04,STORE-2867,PROD-15655,466.11,43
2023-04-21,STORE-3029,PROD-35916,286.57,20
2023-02-09,STORE-4056,PROD-23916,977.89,25
2022-09-21,STORE-3706,PROD-40353,271.44,26
2022-04-05,STORE-2803,PROD-76871,474.18,18
2023-01-20,STORE-2077,PROD-85510,102.8,39
2022-05-15,STORE-5317,PROD-84308,649.2,25
2022-04-12,STORE-9650,PROD-36627,825.02,16
2022-07-21,STORE-7407,PROD-82415,12.54,40
2022-04-17,STORE-6230,PROD-35519,745.29,16
2023-03-31,STORE-8144,PROD-31388,752.53,13
2022-09-11,STORE-7688,PROD-79286,450.51,15
2022-10-08,STORE-1465,PROD-68107,970.66,43
2022-04-19,STORE-4529,PROD-40832,184.9,22
2022-02-10,STORE-3395,PROD-46314,934.43,15
2023-01-18,STORE-7744,PROD-39921,385.25,42
2023-04-10,STORE-9860,PROD-86096,137.73,25
2022-08-21,STORE-8416,PROD-83881,160.35,30
2022-08-02,STORE-1123,PROD-37531,583.34,3
2023-03-21,STORE-4816,PROD-74410,48.99,33
2023-03-23,STORE-9250,PROD-63075,144.98,42
2022-02-10,STORE-7968,PROD-93430,952.35,45
2023-02-03,STORE-5372,PROD-56359,767.97,23
2022-03-22,STORE-5978,PROD-90456,621.07,17
2022-07-18,STORE-9412,PROD-14238,54.59,11
2022-06-01,STORE-6335,PROD-39826,580.21,23
2023-03-24,STORE-7457,PROD-87793,449.22,42
2022-12-21,STORE-3904,PROD-76582,674.68,3
2023-01-15,STORE-4314,PROD-61548,237.52,38
2022-05-27,STORE-2877,PROD-78413,78.33,2
2022-08-25,STORE-2136,PROD-10590,523.05,20
2022-01-29,STORE-8957,PROD-44991,855.72,6
2022-09-13,STORE-2715,PROD-94577,776.38,14
2022-12-15,STORE-2822,PROD-93168,88.37,21
2022-05-10,STORE-4255,PROD-79313,991.46,44
2023-01-26,STORE-9419,PROD-26496,692.93,17
2022-02-05,STORE-2558,PROD-39782,599.51,15
2022-05-15,STORE-1079,PROD-86487,136.3,13
2022-12-14,STORE-6889,PROD-35199,766.08,43
2023-01-10,STORE-2607,PROD-83593,273.32,39
2023-03-18,STORE-3794,PROD-12175,994.65,43
2023-04-13,STORE-8228,PROD-91224,808.39,46
2022-04-13,STORE-6999,PROD-28762,665.47,40
2023-02-07,STORE-9164,PROD-24745,76.18,18
2022-12-08,STORE-7584,PROD-62843,630.88,42
2023-03-17,STORE-3066,PROD-28853,340.53,15
2022-04-10,STORE-3598,PROD-29724,106.66,33
2022-02-14,STORE-1971,PROD-89150,489.06,34
2023-03-28,STORE-2747,PROD-90263,80.61,8
2022-03-26,STORE-4046,PROD-78783,694.09,5
2022-01-18,STORE-5019,PROD-74365,706.58,16
2022-02-28,STORE-9857,PROD-91243,640.75,2
2022-02-20,STORE-6158,PROD-47695,155.9,48
2022-03-03,STORE-9584,PROD-94675,522.59,28
2022-07-21,STORE-2028,PROD-28311,66.07,34
2022-06-24,STORE-3694,PROD-47256,589.85,49
2022-11-28,STORE-1474,PROD-29711,818.23,22
2022-11-01,STORE-7699,PROD-67084,62.59,32
2022-02-25,STORE-6793,PROD-89681,61.85,7
2022-11-21,STORE-3279,PROD-13131,243.16,14
2022-12-02,STORE-8648,PROD-28998,594.54,35
2022-02-14,STORE-4052,PROD-52662,527.29,12
2022-12-16,STORE-9299,PROD-84237,25.4,9
2022-08-03,STORE-6085,PROD-56403,725.39,41
2022-02-03,STORE-1596,PROD-14311,517.59,45
2022-10-22,STORE-7892,PROD-77633,874.74,8
2022-05-03,STORE-2276,PROD-93706,307.73,38
2022-04-20,STORE-4218,PROD-24536,165.01,45
2022-08-26,STORE-6887,PROD-70533,285.5,20
2022-09-06,STORE-5191,PROD-65277,427.1,1
2022-07-05,STORE-9283,PROD-61607,711.57,35
2022-08-06,STORE-9227,PROD-73545,795.84,40
2022-01-08,STORE-7045,PROD-10597,422.3,37
2022-04-16,STORE-2532,PROD-56187,826.37,30
2022-08-18,STORE-1364,PROD-52329,645.8,42
2023-02-06,STORE-7741,PROD-18109,892.01,47
2022-05-26,STORE-9570,PROD-11196,559.75,16
2022-07-10,STORE-9130,PROD-46059,250.99,49
2022-07-05,STORE-4172,PROD-68916,163.39,34
2022-02-03,STORE-3072,PROD-80793,162.81,39
2022-09-17,STORE-1964,PROD-11564,907.62,49
2022-06-29,STORE-4941,PROD-77661,832.32,13
2022-07-26,STORE-9774,PROD-49909,816.54,12
2023-03-16,STORE-1627,PROD-33812,975.43,12
2022-10-19,STORE-6126,PROD-62244,23.67,50
2022-05-19,STORE-9061,PROD-39708,38.47,39
2022-04-23,STORE-2478,PROD-77443,853.13,29
2022-11-01,STORE-1634,PROD-83419,900.06,48
2023-02-14,STORE-8427,PROD-24065,361.2,50
2022-03-23,STORE-8770,PROD-15356,863.1,4
2022-05-04,STORE-6831,PROD-85131,703.84,26
2022-03-19,STORE-7512,PROD-97657,170.06,14
2022-06-11,STORE-7441,PROD-47567,809.75,37
2022-11-02,STORE-7903,PROD-34596,156.47,18
2022-04-26,STORE-8657,PROD-53114,896.09,39
2022-06-22,STORE-4568,PROD-62336,52.66,7
2022-03-25,STORE-6874,PROD-88896,385.37,31
2022-04-08,STORE-5386,PROD-52078,629.68,13
2023-02-03,STORE-4951,PROD-90917,969.53,17
2022-08-17,STORE-1632,PROD-24684,842.55,42
2022-08-22,STORE-8271,PROD-40644,315.88,18
2022-11-27,STORE-9778,PROD-33349,428.33,37
2022-08-21,STORE-6971,PROD-64651,637.74,48
2022-05-01,STORE-6314,PROD-15226,22.27,30
2022-05-15,STORE-2275,PROD-64612,853.02,44
2022-06-30,STORE-7274,PROD-69018,574.51,11
2022-12-15,STORE-3107,PROD-61457,875.79,29
2022-05-23,STORE-2340,PROD-93015,368.23,48
2022-01-07,STORE-9633,PROD-20347,965.51,48
2023-03-18,STORE-9584,PROD-66972,390.81,42
2023-04-14,STORE-9462,PROD-50376,221.2,2
2023-02-15,STORE-1381,PROD-15886,276.66,20
2023-03-16,STORE-7488,PROD-41937,349.73,29
2022-12-14,STORE-1890,PROD-41953,936.4,6
2022-05-29,STORE-7342,PROD-52942,47.92,33
2023-02-02,STORE-5551,PROD-46175,234.45,22
2022-04-09,STORE-3873,PROD-59033,480.01,9
2022-01-09,STORE-5592,PROD-17853,319.96,3
2022-10-21,STORE-7682,PROD-61590,982.26,21
2022-03-21,STORE-7270,PROD-33929,750.69,17
2022-05-14,STORE-7955,PROD-85479,940.85,35
2022-10-31,STORE-2263,PROD-99540,947.72,36
2022-07-03,STORE-2940,PROD-45904,518.54,30
2023-04-12,STORE-4810,PROD-18536,284.1,13
2022-05-02,STORE-8900,PROD-70965,107.73,13
2022-02-07,STORE-5288,PROD-81164,326.05,24
2022-06-13,STORE-8556,PROD-82785,555.21,27
2022-01-20,STORE-1919,PROD-90007,667.82,13
2022-09-02,STORE-6734,PROD-38738,379.03,41
2022-12-24,STORE-7572,PROD-83941,371.5,42
2023-03-03,STORE-9096,PROD-23992,291.35,15
2022-05-25,STORE-6014,PROD-83994,988.46,31
2022-04-18,STORE-4479,PROD-84320,492.79,31
2022-08-06,STORE-2164,PROD-88198,974.84,31
2022-07-25,STORE-6940,PROD-81385,194.08,1
2022-04-10,STORE-5495,PROD-66188,502.75,18
2022-05-11,STORE-2260,PROD-48341,946.41,37
2022-10-24,STORE-9920,PROD-85340,628.52,27
2023-03-27,STORE-4401,PROD-87135,936.52,17
2022-08-16,STORE-6611,PROD-87296,763.01,21
2022-01-24,STORE-7043,PROD-56324,850.51,18
2022-02-08,STORE-4217,PROD-50737,373.33,35
2022-01-13,STORE-8348,PROD-76547,838.18,35
2022-03-14,STORE-7007,PROD-64016,226.87,31
2022-09-02,STORE-5964,PROD-52241,760.96,9
2022-09-21,STORE-6115,PROD-48238,912.67,29
2023-02-15,STORE-4415,PROD-15307,261.18,35
2022-08-05,STORE-4226,PROD-49683,173.54,14
2022-11-13,STORE-4639,PROD-54460,200.69,12
2022-07-13,STORE-9929,PROD-64715,458.54,6
2022-02-06,STORE-4845,PROD-88600,89.07,41
2023-02-03,STORE-4587,PROD-46400,397.65,16
2022-09-10,STORE-2988,PROD-96987,111.7,21
2023-02-12,STORE-8953,PROD-11073,752.96,45
2023-03-20,STORE-9763,PROD-67656,520.42,14
2022-08-14,STORE-5200,PROD-86967,484.98,26
2022-06-01,STORE-3260,PROD-49374,964.21,19
2023-04-17,STORE-7356,PROD-30585,664.27,22
2022-01-17,STORE-2963,PROD-59603,197.43,27
2022-08-25,STORE-7595,PROD-52476,703.32,44
2023-02-24,STORE-5477,PROD-12995,713.35,20
2022-03-08,STORE-8607,PROD-90416,373.32,2
2023-04-09,STORE-2770,PROD-79393,52.26,5
2022-03-11,STORE-9586,PROD-72457,168.21,20
2023-01-03,STORE-1169,PROD-52727,922.04,17
2022-09-17,STORE-5274,PROD-44784,105.01,5
2023-01-27,STORE-1833,PROD-35020,21.22,4
2022-08-07,STORE-7545,PROD-24282,246.73,15
2022-02-21,STORE-6934,PROD-46614,709.43,30
2022-07-14,STORE-5822,PROD-80288,453.43,8
2023-01-27,STORE-9123,PROD-65097,738.0,29
2023-02-01,STORE-4335,PROD-88559,406.21,47
2022-07-05,STORE-1377,PROD-53305,841.4,8
2023-01-13,STORE-9745,PROD-76401,670.94,38
2023-01-09,STORE-3244,PROD-39434,221.88,46
2022-07-24,STORE-7046,PROD-24362,429.54,24
2023-04-23,STORE-5228,PROD-72550,890.17,50
2022-05-25,STORE-4159,PROD-86166,899.99,9
2022-04-04,STORE-2848,PROD-43867,976.67,19
2022-10-30,STORE-3071,PROD-28953,994.39,37
2022-11-19,STORE-3008,PROD-77206,670.15,29
2023-01-29,STORE-2103,PROD-49129,600.27,43
2022-12-16,STORE-3410,PROD-85334,497.12,2
2022-04-07,STORE-6773,PROD-99644,814.74,45
2023-04-13,STORE-7193,PROD-23532,695.24,10
2022-06-07,STORE-7315,PROD-73858,960.73,32
2023-03-07,STORE-7471,PROD-12344,245.11,31
2022-04-15,STORE-7183,PROD-66976,276.88,36
2022-10-16,STORE-7667,PROD-31251,376.11,36
2023-01-01,STORE-1807,PROD-16079,922.84,37
2022-08-04,STORE-1040,PROD-43932,847.03,9
2023-02-23,STORE-8684,PROD-56827,57.35,8
2022-04-20,STORE-3863,PROD-33805,171.66,21
2022-06-17,STORE-2833,PROD-78360,645.39,17
2023-02-04,STORE-7680,PROD-68504,481.0,28
2022-02-25,STORE-2420,PROD-96210,669.41,17
2022-01-31,STORE-8319,PROD-33629,65.54,17
2022-02-03,STORE-2232,PROD-29433,468.26,25
2023-03-16,STORE-9492,PROD-84766,395.55,29
2022-01-28,STORE-3666,PROD-17765,984.01,3
2022-07-21,STORE-4803,PROD-17685,190.16,18
2023-01-08,STORE-7261,PROD-34338,31.24,20
2023-01-25,STORE-8446,PROD-58005,139.13,42
2022-08-18,STORE-8447,PROD-36182,204.99,10
2022-05-19,STORE-3144,PROD-56175,83.21,25
2022-10-22,STORE-2580,PROD-55096,397.17,50
2022-04-10,STORE-8478,PROD-49770,277.47,50
2022-01-02,STORE-3551,PROD-22639,856.91,17
2022-02-06,STORE-6248,PROD-66454,792.22,6
2023-02-03,STORE-4809,PROD-36708,204.93,20
2022-07-31,STORE-6478,PROD-70960,539.95,47
2023-04-21,STORE-7483,PROD-10246,142.5,13
2023-03-05,STORE-9232,PROD-74442,681.51,8
2022-05-31,STORE-2751,PROD-33768,680.43,30
2022-07-18,STORE-3623,PROD-10557,94.43,40
2023-02-20,STORE-8929,PROD-27047,993.37,15
2023-01-03,STORE-2063,PROD-65112,498.52,25
2022-01-17,STORE-1131,PROD-27647,632.9,42
2023-02-05,STORE-9614,PROD-40546,515.45,22
2022-10-04,STORE-6589,PROD-65952,786.85,48
2023-01-29,STORE-8787,PROD-19914,553.34,4
2022-06-15,STORE-2084,PROD-22636,154.69,1
2023-02-06,STORE-3797,PROD-23726,566.87,1
2022-07-16,STORE-2835,PROD-64100,314.32,9
2022-04-25,STORE-4277,PROD-96903,427.75,40
2022-07-04,STORE-6513,PROD-22183,138.36,29
2023-03-26,STORE-3879,PROD-23797,55.42,50
2023-01-09,STORE-9096,PROD-20519,934.14,25
2022-09-13,STORE-6542,PROD-89828,146.0,14
2022-03-23,STORE-4455,PROD-92001,885.59,46
2022-05-19,STORE-4882,PROD-19309,97.27,23
2023-01-06,STORE-6073,PROD-51212,192.15,49
2022-01-03,STORE-7391,PROD-70653,658.2,37
2022-07-08,STORE-1722,PROD-64696,558.93,32
2022-07-01,STORE-1585,PROD-62276,777.01,3
2022-04-09,STORE-4048,PROD-76403,55.02,21
2022-06-30,STORE-2589,PROD-33318,699.07,42
2022-05-19,STORE-2411,PROD-42853,585.03,14
2022-04-30,STORE-6665,PROD-41517,667.63,25
2023-03-27,STORE-3552,PROD-71110,97.97,26
2022-04-15,STORE-1913,PROD-59570,526.03,27
2022-01-25,STORE-5389,PROD-11692,947.51,43
2022-08-13,STORE-3553,PROD-29497,814.84,25
2023-04-27,STORE-6636,PROD-64280,641.09,6
2022-09-26,STORE-7053,PROD-19690,595.22,18
2022-03-10,STORE-5821,PROD-56754,262.3,12
2022-07-11,STORE-7544,PROD-75247,676.33,14
2022-10-01,STORE-8554,PROD-21585,226.62,43
2022-10-13,STORE-4602,PROD-31410,628.01,10
2022-05-16,STORE-1001,PROD-65946,279.04,17
2022-11-28,STORE-1542,PROD-96388,662.7,1
2022-05-04,STORE-2813,PROD-68837,869.29,4
2022-05-07,STORE-6323,PROD-50047,163.08,45
2022-05-18,STORE-3957,PROD-44104,714.33,48
2022-03-12,STORE-3978,PROD-25008,209.87,26
2022-08-31,STORE-3033,PROD-11165,535.93,45
2022-06-02,STORE-3054,PROD-25355,224.36,46
2022-09-05,STORE-8012,PROD-90480,397.82,3
2022-02-16,STORE-8076,PROD-28103,136.4,49
2022-04-12,STORE-9859,PROD-76648,164.21,45
2022-05-27,STORE-8193,PROD-93528,939.96,35
2023-03-15,STORE-7723,PROD-93081,190.43,16
2023-03-08,STORE-5244,PROD-86011,992.72,43
2022-07-02,STORE-2053,PROD-59555,127.76,21
2022-07-19,STORE-2406,PROD-46075,901.84,7
2022-11-18,STORE-7694,PROD-12981,958.76,4
2023-02-10,STORE-7229,PROD-73025,126.51,9
2023-02-08,STORE-5413,PROD-70051,293.2,12
2022-05-08,STORE-7556,PROD-78896,864.56,26
2023-03-20,STORE-6919,PROD-68295,837.02,43
2022-12-18,STORE-3429,PROD-99910,641.33,36
2022-12-24,STORE-3888,PROD-77293,523.43,50
2022-02-04,STORE-3472,PROD-50989,44.13,22
2023-04-01,STORE-5021,PROD-40435,757.73,3
2022-12-23,STORE-7596,PROD-41941,494.69,9
2022-03-27,STORE-9465,PROD-33917,976.17,22
2023-02-17,STORE-7043,PROD-16572,472.19,18
2022-10-23,STORE-5731,PROD-10648,866.71,45
2022-10-09,STORE-9385,PROD-66290,358.36,50
2023-01-10,STORE-2543,PROD-10176,516.39,31
2023-03-30,STORE-8679,PROD-43641,407.5,13
2023-04-05,STORE-8644,PROD-69006,79.17,37
2023-01-27,STORE-8679,PROD-53155,110.79,35
2022-04-26,STORE-9521,PROD-20001,215.65,50
2022-03-06,STORE-9912,PROD-29332,217.41,27
2022-08-10,STORE-9130,PROD-34546,649.87,39
2022-03-15,STORE-1605,PROD-15260,725.74,15
2022-07-31,STORE-7636,PROD-86429,756.89,12
2022-07-04,STORE-4527,PROD-86364,478.89,1
2023-04-19,STORE-3346,PROD-61857,50.89,14
2022-11-21,STORE-8770,PROD-88760,306.52,34
2022-06-26,STORE-6523,PROD-31615,300.15,27
2022-09-04,STORE-7937,PROD-84650,582.48,28
2022-08-05,STORE-5229,PROD-12920,562.51,20
2022-01-27,STORE-5467,PROD-47324,35.93,8
2022-06-11,STORE-4311,PROD-75667,557.63,2
2023-03-15,STORE-7544,PROD-47914,608.43,35
2022-01-09,STORE-4158,PROD-89391,253.1,20
2022-09-18,STORE-3218,PROD-93892,995.85,48
2022-02-07,STORE-4209,PROD-94410,733.24,4
2022-07-21,STORE-9141,PROD-42584,624.46,45
2022-03-20,STORE-2811,PROD-42717,485.28,47
2022-02-16,STORE-4344,PROD-63341,12.0,27
2022-03-24,STORE-9644,PROD-58724,559.03,6
2022-09-08,STORE-5040,PROD-54437,47.87,44
2022-11-28,STORE-2769,PROD-74320,768.64,8
2022-11-24,STORE-2231,PROD-91496,244.06,12
2022-07-28,STORE-4898,PROD-10041,805.41,1
2022-09-25,STORE-3792,PROD-88897,800.83,40
2022-10-28,STORE-8893,PROD-51915,449.99,47
2022-03-07,STORE-5578,PROD-13850,518.66,2
2022-08-22,STORE-9347,PROD-55395,68.91,6
2022-06-03,STORE-2500,PROD-67243,387.47,9
2022-03-17,STORE-5739,PROD-97524,400.14,33
2022-01-21,STORE-9006,PROD-62351,441.14,22
2023-03-23,STORE-4399,PROD-17857,926.68,3
2022-05-14,STORE-8577,PROD-99517,930.47,27
2023-01-01,STORE-2121,PROD-79463,675.87,21
2022-08-29,STORE-3674,PROD-54502,931.67,28
2023-01-28,STORE-3959,PROD-21425,864.13,33
2023-03-28,STORE-1759,PROD-32595,150.26,4
2022-01-24,STORE-4543,PROD-15234,60.69,38
2022-01-14,STORE-3425,PROD-34333,131.33,45
2022-04-07,STORE-5338,PROD-36027,93.5,17
2022-08-19,STORE-9627,PROD-71085,887.36,31
2022-01-08,STORE-3213,PROD-32103,800.92,25
2022-07-04,STORE-5089,PROD-16707,978.75,48
2022-10-06,STORE-5741,PROD-86977,415.47,11
2023-02-06,STORE-1139,PROD-29325,812.69,21
2022-11-05,STORE-8642,PROD-37835,258.81,24
2022-04-29,STORE-8571,PROD-41406,989.54,50
2022-02-15,STORE-3097,PROD-80782,270.28,20
2022-04-14,STORE-3965,PROD-13435,173.47,25
2022-01-18,STORE-2556,PROD-10330,482.58,49
2023-01-23,STORE-4089,PROD-46874,984.39,18
2022-11-09,STORE-1451,PROD-22003,419.49,19
2023-04-19,STORE-6354,PROD-30274,293.51,13
2022-12-07,STORE-6951,PROD-76924,244.23,19
2023-03-31,STORE-6278,PROD-94886,893.58,5
2023-02-14,STORE-1592,PROD-35784,224.61,12
2022-06-12,STORE-3954,PROD-80658,222.34,8
2022-10-09,STORE-5923,PROD-84102,766.23,15
2022-02-05,STORE-3216,PROD-89251,150.94,1
2022-04-03,STORE-4673,PROD-84123,972.26,39
2023-04-20,STORE-6107,PROD-19386,153.48,49
2022-10-19,STORE-6601,PROD-20780,348.38,39
2022-12-02,STORE-1939,PROD-72101,540.84,11
2022-07-15,STORE-9289,PROD-35731,636.01,32
2022-11-17,STORE-6142,PROD-72594,668.1,5
2022-11-27,STORE-6382,PROD-48235,513.84,48
2023-04-06,STORE-4929,PROD-72005,481.43,22
2023-02-04,STORE-4053,PROD-65844,994.13,17
2022-04-04,STORE-2460,PROD-47139,566.82,35
2023-02-11,STORE-3811,PROD-97864,733.87,12
2022-03-21,STORE-4899,PROD-19592,307.51,6
2022-10-28,STORE-4926,PROD-80643,117.06,11
2023-03-14,STORE-2631,PROD-29398,683.61,21
2022-08-03,STORE-4241,PROD-85245,259.73,6
2022-12-03,STORE-9219,PROD-38704,106.04,42
2022-07-15,STORE-3168,PROD-88558,797.37,18
2022-03-31,STORE-2131,PROD-26132,293.66,11
2022-06-07,STORE-5816,PROD-23134,250.62,37
2023-01-09,STORE-1199,PROD-80159,185.47,11
2022-01-06,STORE-5090,PROD-97650,155.58,8
2022-11-17,STORE-9091,PROD-41590,52.48,3
2022-10-08,STORE-5115,PROD-25377,915.06,45
2023-03-15,STORE-2493,PROD-77844,571.76,9
2023-03-16,STORE-4095,PROD-91510,26.89,48
2022-06-15,STORE-3484,PROD-13363,901.63,33
2022-08-20,STORE-4505,PROD-10513,198.92,43
2023-04-15,STORE-8676,PROD-55419,890.92,45
2023-03-03,STORE-7492,PROD-13485,962.16,20
